Epoch 1, Accuracy: 0.6711766098484848, Loss: 20252.166015625
Epoch 2, Accuracy: 0.7557528409090909, Loss: 16799.96875
Epoch 3, Accuracy: 0.7783706202651515, Loss: 15790.0126953125
Epoch 4, Accuracy: 0.8004941998106061, Loss: 14601.345703125
Epoch 3, Accuracy: 0.7783706202651515, Loss: 15790.0126953125
Epoch 4, Accuracy: 0.8004941998106061, Loss: 14601.345703125
Epoch 5, Accuracy: 0.8182262073863636, Loss: 13488.060546875
Epoch 6, Accuracy: 0.8350941051136364, Loss: 12489.1298828125
Epoch 7, Accuracy: 0.8479699337121213, Loss: 11435.1552734375
Epoch 8, Accuracy: 0.86005859375, Loss: 10683.0
Epoch 9, Accuracy: 0.8705610795454546, Loss: 9720.00390625
Epoch 10, Accuracy: 0.8789328835227272, Loss: 9499.345703125
Checkpoint saved at epoch 10
Epoch 11, Accuracy: 0.8875, Loss: 9006.900390625
Epoch 12, Accuracy: 0.8947354403409091, Loss: 8471.8857421875
Epoch 13, Accuracy: 0.9002278645833334, Loss: 8111.51904296875
Epoch 14, Accuracy: 0.905948153409091, Loss: 7852.92138671875
Epoch 15, Accuracy: 0.9101680871212121, Loss: 7340.9501953125
Epoch 16, Accuracy: 0.9143761837121213, Loss: 7262.9560546875
Epoch 17, Accuracy: 0.9167110558712122, Loss: 7002.10302734375
Epoch 18, Accuracy: 0.91962890625, Loss: 6795.83447265625
Epoch 19, Accuracy: 0.9228426846590909, Loss: 6636.1650390625
Epoch 20, Accuracy: 0.9249230587121212, Loss: 6234.32373046875
Checkpoint saved at epoch 20
Epoch 21, Accuracy: 0.9269412878787879, Loss: 6147.337890625
Epoch 22, Accuracy: 0.9283617424242424, Loss: 6119.029296875
Epoch 23, Accuracy: 0.9304332386363636, Loss: 5869.7587890625
